wa_inventory_id,generic_strain_id,first_rtl_sale,latest_rtl_sale,wholesale_cogs,ttl_rtl_sales,units_sold
6033356330002374,17,2015-03-20,2015-05-26,131.25,374.95,5
6033501220000218,17,2015-02-22,2015-12-03,710.00,1354.23,71
6033501220000217,17,2015-02-18,2015-04-08,425.00,906.78,86
6033356330002480,17,2015-02-22,2015-03-18,475.00,1486.25,100
6033356330002481,17,2015-03-06,2015-03-14,743.50,2248.00,50
6033356330002558,17,2015-04-30,2015-05-09,227.50,383.55,5
6033356330002557,17,2015-04-19,2015-07-05,105.00,150.42,5
6033356330002556,17,2015-04-19,2015-05-29,450.00,920.55,70
6033356330002568,17,2015-02-15,2015-03-10,450.00,2054.78,50
6033356330002569,17,2015-02-25,2015-04-19,425.00,1725.95,25
6033477970000902,17,2015-02-19,2015-02-25,465.00,1022.93,19
6033488250002215,17,2015-02-18,2015-08-08,800.00,2308.72,100
6033303330000316,17,2015-02-14,2015-02-17,600.00,1903.09,150
6033477970000900,17,2015-02-18,2015-04-16,840.00,2476.14,131
6033356330002672,17,2015-04-09,2015-06-01,386.62,1926.55,25
6033356330002671,17,2015-03-17,2015-04-02,669.75,2789.94,139
6033356330002673,17,2015-05-05,2015-05-16,220.50,1026.45,9
6033356330002687,17,2015-10-20,2015-12-17,5.00,0.00,5
6033356330002692,17,2015-05-18,2015-06-09,120.00,482.99,15
6033356330002658,17,2015-05-15,2015-05-18,280.00,1126.96,35
6033303330000330,17,2015-02-19,2015-03-26,1200.00,3804.14,298
6033303330000325,17,2015-03-05,2015-03-05,3.00,4.00,3
6033488250002226,17,2015-02-28,2015-07-26,400.00,1826.24,50
6033356330002703,17,2015-03-12,2015-04-15,5.00,91.36,5
6033356330002737,17,2015-02-26,2015-04-17,297.50,965.20,20
6033356330002735,17,2015-04-09,2015-04-17,118.75,32.00,2
6033356330002736,17,2015-02-28,2015-05-31,450.00,1458.21,51
6033356330002738,17,2015-02-26,2015-04-26,196.00,750.18,8
6033356330002754,17,2015-04-24,2015-04-24,5.00,4.20,1
6033356330002785,17,2015-03-06,2015-03-26,266.95,931.73,95
6033356330002778,17,2015-03-12,2015-03-27,498.40,2084.85,140
6033356330002786,17,2015-03-11,2015-03-25,373.73,1582.10,133
6033356330002795,17,2015-03-14,2015-04-05,1395.18,6841.33,207
6033356330002765,17,2015-03-03,2015-03-11,5.00,75.00,5
6033356330002793,17,2015-03-08,2015-03-23,544.96,1992.62,104
6033356330002791,17,2015-03-06,2015-03-24,424.44,1900.36,81
6033356330002806,17,2015-03-03,2015-03-28,40.00,183.18,20
6033356330002792,17,2015-03-07,2015-03-19,628.80,2232.47,120
6033356330002913,17,2015-03-14,2015-03-26,4.00,55.35,4
6033356330002787,17,2015-03-08,2015-03-19,183.40,719.55,35
6033356330002804,17,2015-03-12,2015-05-15,100.00,506.00,27
6033356330002805,17,2015-03-03,2015-05-20,104.00,467.36,13
6033356330002803,17,2015-02-27,2015-05-01,100.00,572.70,52
6033356330002827,17,2015-03-05,2015-04-20,47.50,113.55,5
6033356330002828,17,2015-03-10,2015-05-26,189.00,444.74,12
6033491900000407,17,2015-05-10,2016-09-11,350.00,1370.96,50
6033491900000408,17,2015-05-10,2015-09-03,771.75,2426.11,63
6033491900000406,17,2015-05-10,2015-09-16,437.50,1613.87,125
6033564920002021,17,2015-03-08,2015-03-08,12.00,33.42,2
6033356330003700,17,2015-04-19,2015-04-19,2.00,1.84,2
6033356330003604,17,2015-06-16,2015-09-17,2250.00,7261.82,375
6033356330002933,17,2015-03-08,2015-04-01,1050.00,3320.97,175
6033356330002926,17,2015-03-14,2015-04-09,678.00,1545.03,84
6033501220000247,17,2015-03-03,2015-05-18,112.50,325.68,24
6033501220000249,17,2015-05-15,2015-05-15,63.00,128.79,1
6033501220000248,17,2015-03-06,2015-05-09,157.50,414.00,10
6033356330002927,17,2015-03-07,2015-03-17,498.00,826.33,44
6033356330002967,17,2015-03-31,2015-04-11,180.00,530.24,29
6033356330002956,17,2015-03-29,2015-06-27,500.00,2214.03,200
6033356330002957,17,2015-04-30,2015-06-01,112.50,498.15,45
6033356330002955,17,2015-04-25,2015-06-27,637.50,2822.87,255
6033356330003048,17,2015-03-13,2015-03-14,136.44,394.56,12
6033356330003051,17,2015-03-14,2015-03-26,700.00,2101.17,100
6033356330003050,17,2015-03-13,2015-04-19,2137.56,5834.45,187
6033356330003052,17,2015-03-13,2015-04-04,370.00,1186.84,100
6033356330003049,17,2015-03-13,2015-03-20,882.00,2520.45,40
6033356330003077,17,2015-03-18,2015-03-18,6.00,0.06,6
6033356330003025,17,2015-04-21,2015-05-01,340.00,936.99,19
6033356330003023,17,2015-03-11,2015-04-27,450.00,1772.70,50
6033501220000340,17,2015-03-20,2015-03-22,425.00,1339.68,97
6033501220000334,17,2015-03-15,2015-03-18,36.00,148.00,8
6033501220000335,17,2015-03-15,2015-03-18,63.00,185.00,4
6033564920002297,17,2015-03-19,2015-04-17,60.00,158.75,10
6033356330003805,17,2015-04-06,2015-05-24,705.00,1372.60,61
6033356330003782,17,2015-05-03,2015-09-10,262.50,696.50,18
6033356330003272,17,2015-04-20,2015-04-21,5.00,55.20,6
6033356330003275,17,2015-03-24,2015-03-24,5.00,6.87,5
6033356330003268,17,2015-04-20,2015-04-28,210.00,769.81,72
6033356330003781,17,2015-04-23,2015-04-23,105.00,456.64,2
6033356330003798,17,2015-04-19,2015-05-08,175.00,942.81,21
6033356330003711,17,2015-04-26,2015-06-17,367.50,1097.78,7
6033356330003710,17,2015-04-17,2015-05-22,721.88,3014.74,69
6033356330003797,17,2015-04-19,2015-04-19,70.00,304.43,2
6033356330003271,17,2015-03-28,2015-03-28,63.00,179.40,3
6033356330003270,17,2015-03-28,2015-04-02,72.00,231.84,6
6033356330003269,17,2015-03-28,2015-04-23,210.00,905.28,37
6033356330003267,17,2015-03-24,2015-04-04,300.00,1099.00,100
6033356330003766,17,2015-04-03,2015-06-25,337.50,2006.13,65
6033356330003783,17,2015-04-20,2015-05-05,675.00,2440.94,97
6033356330003719,17,2015-04-02,2015-05-22,900.00,5208.42,224
6033356330003444,17,2015-03-29,2015-04-20,350.00,1213.01,50
6033356330003444,17,2015-03-29,2015-04-20,350.00,1213.01,50
6033356330003445,17,2015-03-28,2015-03-28,3.00,2.77,3
6033356330003445,17,2015-03-28,2015-03-28,3.00,2.77,3
6033501220000414,17,2015-04-15,2015-04-16,350.00,322.82,35
6033356330003450,17,2015-08-28,2015-08-28,112.50,257.91,15
6033356330003513,17,2015-06-24,2015-07-22,1640.63,5748.48,125
6033501220000413,17,2015-04-07,2015-06-23,375.00,963.55,49
6033356330003529,17,2015-08-28,2015-08-28,690.00,2372.77,138
6033356330003460,17,2015-08-29,2015-08-29,175.00,550.21,100
6033356330003528,17,2015-08-28,2015-08-28,195.00,670.56,39
6033501220000493,17,2015-04-05,2015-04-22,375.00,1004.31,100
6033356330003533,17,2015-08-01,2015-08-28,1350.00,3094.91,180
6033501220000443,17,2015-04-10,2015-04-13,612.50,553.50,15
6033501220000422,17,2015-03-28,2015-04-18,456.00,1698.88,57
6033501220000423,17,2015-04-03,2015-04-12,224.00,626.72,8
6033356330003568,17,2015-05-19,2015-10-05,510.00,2564.11,100
6033356330003569,17,2015-04-06,2015-04-06,2.00,2.00,2
6033356330003658,17,2015-04-04,2015-04-09,252.00,659.33,6
6033356330003657,17,2015-04-05,2015-07-14,1050.00,3580.42,98
6033356330003659,17,2015-04-04,2015-04-04,2.00,2.75,2
6033356330003656,17,2015-04-04,2015-06-03,900.00,3351.90,305
6033303330000357,17,2015-04-15,2015-05-31,400.00,1260.40,99
6033303330000358,17,2015-04-16,2015-08-23,200.00,645.18,51
6033356330003850,17,2015-05-01,2015-07-25,1225.00,6974.24,140
6033356330003880,17,2015-04-27,2015-07-25,918.75,5224.23,105
6033356330003881,17,2015-04-26,2015-08-01,810.00,4680.06,162
6033356330003851,17,2015-05-19,2015-07-01,1125.00,7264.76,225
6033356330003956,17,2015-04-30,2015-08-01,250.00,1387.98,50
6033501220000544,17,2015-06-12,2015-09-03,732.00,1718.68,116
6033501220000703,17,2015-06-05,2015-06-05,20.00,73.80,2
6033501220000568,17,2015-04-25,2015-04-25,48.00,148.56,1
6033501220000553,17,2015-04-18,2015-04-30,196.00,757.98,28
6033501220000567,17,2015-04-18,2015-05-01,196.00,617.44,8
6033501220000702,17,2015-06-19,2015-06-30,129.00,306.25,23
6033501220000820,17,2015-08-09,2015-08-18,480.00,340.45,11
6033501220000816,17,2015-06-26,2015-07-08,300.00,630.82,30
6033501220000583,17,2015-04-23,2015-05-10,147.00,387.48,12
6033501220000582,17,2015-04-22,2015-05-04,140.00,369.15,40
6033356330004036,17,2015-04-26,2015-10-27,2.00,1.69,2
6033356330004035,17,2015-04-20,2015-04-22,600.00,1621.75,102
6033356330004095,17,2015-04-24,2015-05-14,420.00,1098.89,12
6033356330004096,17,2015-04-21,2015-04-21,2.00,2.72,2
6033502280000721,17,2015-04-24,2015-05-04,63.00,32.85,2
6033356330004192,17,2015-05-01,2015-05-05,63.00,179.97,3
6033356330004191,17,2015-04-26,2015-05-05,53.63,141.36,5
6033356330004193,17,2015-05-01,2015-05-01,42.00,109.59,1
6033356330004139,17,2015-04-27,2015-04-29,168.00,478.40,8
6033356330004194,17,2015-06-12,2015-06-12,84.00,164.38,1
6033356330004190,17,2015-04-24,2015-05-09,70.00,234.45,11
6033356330004140,17,2015-05-01,2015-05-01,2.00,3.68,2
6033356330004138,17,2015-04-26,2015-06-15,300.00,1348.72,50
6033356330004137,17,2015-04-24,2015-06-04,162.50,724.96,50
6033356330004195,17,2015-04-28,2015-04-28,2.00,3.65,2
6033502280000753,17,2015-04-20,2015-05-05,210.00,482.99,21
6033356330004189,17,2015-04-21,2015-05-26,37.50,116.30,10
6033501220000813,17,2015-05-23,2015-05-27,210.00,365.30,10
6033501220000808,17,2015-05-22,2015-06-03,150.00,273.99,25
6033502280000759,17,2015-04-26,2015-09-12,262.50,738.40,50
6033502280000760,17,2015-04-29,2015-08-14,262.50,668.39,25
6033502280000761,17,2015-05-15,2015-08-14,275.63,541.75,15
6033502280000780,17,2015-04-25,2015-04-27,210.00,383.25,21
6033501220000710,17,2015-04-29,2015-05-13,175.00,555.81,50
6033501220000720,17,2015-04-30,2015-05-07,122.50,390.06,10
6033356330004558,17,2015-05-08,2015-06-30,600.00,1478.84,48
6033356330004761,17,2015-05-24,2015-06-20,840.00,2930.37,80
6033356330004762,17,2015-05-18,2015-06-11,150.00,533.00,50
6033356330004760,17,2015-05-19,2015-06-18,336.00,879.12,8
6033564920002754,17,2015-05-10,2015-06-25,90.00,271.14,15
6033564920002755,17,2015-05-21,2015-07-06,120.00,292.90,10
6033356330004651,17,2015-06-09,2015-06-10,2.00,18.26,2
6033356330004652,17,2015-06-13,2015-07-29,500.00,644.15,27
6033356330004650,17,2015-06-13,2015-07-23,500.00,504.88,75
6033502280000916,17,2015-05-17,2015-07-03,131.25,234.18,25
6033502280000907,17,2015-05-16,2015-06-11,262.50,600.52,52
6033491900000485,17,2015-05-29,2015-06-14,262.50,1038.89,30
6033491900000484,17,2015-05-20,2015-06-09,225.00,895.97,92
6033501220000763,17,2015-05-14,2015-05-22,140.00,369.15,40
6033466510001800,17,2015-05-14,2015-05-31,420.00,1115.77,30
6033356330004812,17,2015-05-22,2015-06-06,200.00,689.30,20
6033356330004820,17,2015-05-23,2015-05-23,2.00,2.00,2
6033356330004833,17,2015-05-16,2015-05-23,481.25,1749.91,25
6033356330004813,17,2015-05-24,2015-05-26,1.50,2.00,2
6033356330004834,17,2015-05-16,2015-05-16,2.00,1.82,2
6033356330004819,17,2015-05-22,2015-06-04,330.00,1083.35,88
6033501220000795,17,2015-05-19,2015-05-22,568.75,2374.45,67
6033501220000792,17,2015-05-19,2015-05-20,568.75,901.63,52
6033356330004883,17,2015-06-19,2015-07-15,240.00,481.62,20
6033356330004932,17,2015-06-26,2015-08-29,1450.00,6367.20,725
6033491900000537,17,2015-05-20,2015-06-17,262.50,1030.98,30
6033356330004929,17,2015-07-22,2015-08-29,1600.00,5381.36,800
6033491900000536,17,2015-05-23,2015-06-25,300.00,1277.34,126
6033356330004986,17,2015-06-23,2015-08-27,210.00,401.43,21
6033356330004987,17,2015-05-30,2015-06-30,125.00,371.50,50
6033564920002979,17,2015-05-28,2015-06-02,60.00,111.00,10
6033356330005052,17,2015-05-30,2015-06-10,46.88,219.81,24
6033356330005047,17,2015-05-30,2015-06-13,336.00,879.11,8
6033501220000838,17,2015-05-30,2015-06-21,4000.00,14544.06,403
6033501220000842,17,2015-05-30,2015-06-08,1650.00,5474.40,300
6033356330005285,17,2015-06-08,2015-06-13,272.00,998.14,109
6033356330005286,17,2015-06-08,2015-06-08,2.00,1.83,2
6033356330005298,17,2015-06-09,2015-06-29,1086.00,3925.04,361
6033356330005311,17,2015-06-10,2015-07-10,500.00,1512.76,48
6033356330005299,17,2015-06-10,2015-06-15,250.25,901.00,26
6033356330005300,17,2015-06-09,2015-06-28,3.00,3.00,3
6033356330005324,17,2015-06-12,2015-07-01,150.00,553.50,30
6033356330005323,17,2015-06-11,2015-07-09,250.00,845.16,100
6033356330005325,17,2015-06-11,2015-07-06,87.50,306.49,10
6033356330005395,17,2015-06-20,2015-06-26,90.00,274.06,15
6033356330005398,17,2015-06-17,2015-06-17,42.00,109.59,1
6033356330005397,17,2015-06-24,2015-06-29,105.00,274.02,5
6033356330005396,17,2015-06-18,2015-06-26,160.88,411.87,15
6033356330005394,17,2015-06-14,2015-06-14,2.00,2.66,2
6033502280001429,17,2015-07-03,2015-07-27,499.50,1025.59,149
6033356330005393,17,2015-06-16,2015-06-24,48.75,136.95,15
6033497050001869,17,2015-10-23,2015-10-28,490.00,978.04,5
6033497050001865,17,2015-09-30,2015-10-29,518.00,1736.14,150
6033497050001868,17,2015-10-21,2015-11-07,490.00,1228.51,10
6033497050001866,17,2015-10-04,2015-10-28,497.00,1520.89,69
6033502280001236,17,2015-06-12,2015-06-13,66.60,205.00,20
6033497050001867,17,2015-10-10,2015-10-26,1225.00,3286.64,95
6033502280001237,17,2015-06-11,2015-06-14,66.60,203.00,10
6033356330005630,17,2015-07-01,2015-07-04,669.00,1722.51,250
6033356330005492,17,2015-06-21,2015-07-02,270.00,733.28,88
6033477970001589,17,2015-07-03,2015-07-07,300.00,693.47,103
6033477970001590,17,2015-07-10,2016-01-15,525.00,1656.25,50
6033477970001591,17,2015-07-04,2015-07-10,120.00,368.64,12
6033356330005493,17,2015-06-21,2015-07-02,270.00,703.46,43
6033356330005631,17,2015-07-01,2015-07-04,666.00,1357.45,100
6033564920003151,17,2015-07-02,2015-07-21,60.00,103.39,10
6033497050001807,17,2015-09-28,2015-09-29,461.25,1019.60,123
6033466510001882,17,2015-06-18,2015-06-25,154.00,278.56,4
6033466510001883,17,2015-06-09,2015-06-30,154.00,341.68,8
6033466510001873,17,2015-07-01,2015-08-15,353.50,698.29,101
6033466510001881,17,2015-06-18,2015-06-21,154.00,259.98,2
6033466510001875,17,2015-06-09,2015-07-18,308.00,528.85,56
6033564920003204,17,2015-06-21,2015-07-30,175.00,703.75,50
6026621400000256,17,2015-07-05,2015-07-11,448.00,1163.87,32
6033477970001627,17,2015-06-27,2015-09-19,273.00,430.17,13
6033477970001630,17,2015-06-24,2015-07-02,100.00,351.78,10
