wa_inventory_id,generic_strain_id,wholesale_date,latest_rtl_sale,wholesale_cogs,ttl_retail_sales,units_sold
6033841480001008,18,2015-04-28,2015-04-30,14.00,19.34,2
6032939160001306,18,2015-04-29,2015-05-30,122.50,577.12,35
6033240110004342,18,2015-05-06,2015-06-27,450.00,1439.14,100
6033240110004343,18,2015-05-06,2015-06-05,512.00,1453.12,32
6033240110004364,18,2015-05-08,2015-06-01,160.00,499.80,20
6033240110004363,18,2015-05-08,2015-06-03,256.00,712.30,16
6033240110004362,18,2015-05-08,2015-05-21,140.00,319.65,5
6033240110004382,18,2015-05-08,2015-06-07,120.00,365.43,20
6033240110004365,18,2015-05-08,2015-05-24,80.00,259.80,20
6033240110004388,18,2015-05-08,2015-05-16,7.00,9.33,7
6033240110004392,18,2015-05-11,2015-06-14,412.50,1095.00,75
6033240110004393,18,2015-05-11,2015-06-13,525.00,1414.01,50
6033240110004394,18,2015-05-11,2015-05-28,320.00,861.28,16
6033240110004451,18,2015-05-13,2015-05-28,7.00,6.38,7
6033387250001183,18,2015-05-14,2015-07-08,25.00,77.96,10
6033240110004486,18,2015-05-15,2015-06-22,864.00,2064.00,48
6033240110004476,18,2015-05-15,2015-05-27,640.00,1752.77,32
6033240110004477,18,2015-05-15,2015-06-12,2880.00,7505.00,160
6033240110004499,18,2015-05-15,2015-05-27,7.00,7.00,7
6033561370000212,18,2015-05-17,2015-05-29,125.00,371.49,50
6033561370000213,18,2015-05-17,2015-06-04,87.50,171.45,5
6033240110004586,18,2015-05-20,2015-07-01,500.00,1495.69,103
6033240110004585,18,2015-05-20,2015-07-01,500.00,1482.00,50
6032939160001320,18,2015-05-20,2015-09-20,346.50,838.78,64
6032939160001319,18,2015-05-20,2015-06-22,612.50,2557.35,50
6033240110004628,18,2015-05-22,2015-06-20,105.00,229.91,10
6033240110004626,18,2015-05-22,2015-07-16,525.00,894.34,15
6033240110004627,18,2015-05-22,2015-06-19,320.00,721.45,16
6033240110004629,18,2015-05-22,2015-05-31,55.00,129.89,10
6033240110004639,18,2015-05-26,,320.00,,
6033564380000322,18,2015-05-26,2015-06-05,202.50,539.97,15
6033240110004640,18,2015-05-26,,1000.00,,
6033240110004638,18,2015-05-26,,70.00,,
6033240110004641,18,2015-05-26,,1000.00,,
6033564380000321,18,2015-05-26,2015-06-12,180.00,466.45,20
6033240110004667,18,2015-05-27,2015-06-28,640.00,1773.16,32
6033240110004717,18,2015-05-28,2015-08-14,7.00,9.27,7
6033240110004708,18,2015-05-28,2015-08-21,1024.00,2325.82,60
6033240110004709,18,2015-05-28,2015-08-16,500.00,1019.23,100
6029656910000362,18,2015-05-29,2015-07-03,500.00,1371.64,49
6029656910000361,18,2015-05-29,2015-06-13,500.00,1548.00,51
6029656910000360,18,2015-05-29,2015-06-23,100.00,300.00,10
