Zip,First city,First county,First Region,Avg Monthly Wholesales in period,Avg Monthly Retail Sales in Period 2,Population,Per Capita Retail Sales,Total Sales,MedianAge,HouseHolder15to24,HouseHolder25to34,HouseHolder35to44,HouseHolder45to54,HouseHolder55to59,HouseHolder60to64,HouseHolder65to74,HouseHolder75to84,Households,HouseHolder85over,Households2Person,Households3Person,Households4Person,Households5Person,Households6Person,Households7PlusPerson,HouseholdsWith60Plus,HouseholdsWith75Plus,HusbandWifeHouseholds,MedianAgeFemale,MedianAgeMale,NonFamilyHouseholds,PopulationAmerindian,PopulationFemale,PopulationMale,PopulationRaceAsian,PopulationRaceBlack,PopulationRaceLatino,PopulationRaceMulti,PopulationRaceOther,PopulationRacePacific,PopulationRaceWhite,SingleFatherHousehold,SingleMotherHousehold,Total Units,Total Wholesale Price,PPs,Retailers
98402,Tacoma,Pierce,Greater Tacoma,$185166,$230740.53,6356,$29.13,$7845178,35.4,377,933,463,533,244,183,271,46,3286,26,2708,479,73,18,5,2,764,285,421,35.1,35.5,2612,0.024229075,2484,3872,0.062303335,0.143643801,0.084801762,0.04657017,0.001730648,0.005821271,0.630899937,78,175,798204,$6295652,209,2
98404,Tacoma,Pierce,Greater Tacoma,$324307,$467360.12,32086,$10.11,$13553444,31.9,381,1960,2198,2290,994,822,1012,536,10522,166,4617,2262,1573,932,560,571,3189,1040,4233,32.9,30.8,3231,0.029857259,16192,15894,0.128841239,0.118244717,0.206632176,0.073458829,0.001682977,0.016237611,0.425045191,829,2229,1411235,$9404894,191,2
98405,Tacoma,Pierce,Greater Tacoma,$90497,$153114.69,22851,$3.96,$5512129,34.1,563,2088,1777,1760,800,632,777,414,9317,158,5256,2084,1041,520,232,171,2557,1011,2658,34.7,33.7,4505,0.014528905,11626,11225,0.050676119,0.181129929,0.083760011,0.078070982,0.0029758,0.009365017,0.579493239,554,1600,490812,$3257885,165,3
98406,Tacoma,Pierce,Greater Tacoma,$284910,$423687.00,21610,$13.18,$16100106,40.7,612,1405,1497,1897,924,866,972,674,9562,290,5956,1957,1004,403,134,87,3456,1493,3775,42.7,38.5,4386,0.007589079,11485,10125,0.036881074,0.047570569,0.051457658,0.049976863,0.001527071,0.004396113,0.800601573,362,1039,1670745,$10826589,207,5
98407,Tacoma,Pierce,Greater Tacoma,,,19885,,,42.8,264,1205,1507,1761,948,893,1089,630,8765,250,5444,1829,964,335,131,60,3288,1199,4005,44.6,40.7,3509,0.00658788,10370,9515,0.034096052,0.037616294,0.049383958,0.046064873,0.002112145,0.002564747,0.821574051,334,917,,,,1
98408,Tacoma,Pierce,Greater Tacoma,$631723,$835527.40,18830,$33.55,$32585569,36,274,1278,1301,1580,622,573,675,512,7072,180,3657,1543,949,503,249,164,2324,892,2855,37.6,34.7,2567,0.015932023,9524,9306,0.085395645,0.10228359,0.117206585,0.07732342,0.001486989,0.014710568,0.585661179,495,1155,2969106,$24637211,213,2
98409,Tacoma,Pierce,Greater Tacoma,$249956,$378326.10,22989,$10.87,$14754718,30.2,892,2224,1697,1821,717,531,602,336,8993,132,4580,2278,1099,600,241,195,1913,599,2985,30.7,29.9,3569,0.012484232,11727,11262,0.074774892,0.159772065,0.145982861,0.082691722,0.00230545,0.017138632,0.504850146,657,1782,1401854,$9748292,231,7
98418,Tacoma,Pierce,Greater Tacoma,$120560,$180135.97,10069,$11.97,$3062312,34.5,151,794,751,887,390,286,353,172,3884,58,2014,901,471,281,112,97,1051,321,1386,35,34,1572,0.023338961,5013,5056,0.074684676,0.109047572,0.137550899,0.069917569,0.002880127,0.015195153,0.567385043,296,630,297255,$2049521,99,1
98424,Fife,,,$5685,$8166.52,10140,$0.56,$97998,31.2,286,1062,907,789,301,211,238,146,3952,36,2030,964,539,236,98,83,724,192,1635,30.8,31.6,1509,0.023964497,5037,5103,0.148126233,0.077120316,0.164299803,0.059072978,0.001676529,0.024852071,0.500887574,264,544,10411,$68220,47,2
98444,Tacoma,Pierce,Greater Tacoma,$368280,$567647.21,33956,$10.85,$18164711,30.1,1277,2534,2129,2529,1090,963,1091,674,12518,128,6355,2773,1681,934,428,320,3395,1089,4488,30.4,29.7,4778,0.012192249,17329,16627,0.112351278,0.116385911,0.164006361,0.069943456,0.002061491,0.038608788,0.484450465,944,2308,1697734,$11784950,279,3
